BHK,sector,price,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
2,others,1.0,1035.0,1,Unfurnished,East,available,2,1,Garden/Park,Bangalore
4,others,2.2,2802.0,10,Unfurnished,East,available,4,2,Main Road,Bangalore
4,Thanisandra,1.89,1890.0,6,Unfurnished,East,available,4,4,"Garden/Park, Pool",Bangalore
4,Jakkur,2.62,2799.0,6,Unfurnished,East,available,4,2,Main Road,Bangalore
4,Sarjapura,2.27,3128.0,5,Unfurnished,North,available,4,4,Garden/Park,Bangalore
3,others,1.14,1281.0,8,Unfurnished,North,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
4,others,8.13,3497.0,3,Unfurnished,East,available,3,2,"Garden/Park, Main Road",Bangalore
3,others,5.5,1902.0,10+,Unfurnished,East,available,3,1,Garden/Park,Bangalore
3,Yelahanka,1.22,1579.0,4,Unfurnished,East,available,3,1,"Garden/Park, Pool",Bangalore
4,Whitefield,3.1,2230.0,10+,Semi-Furnished,East,available,4,2,Garden/Park,Bangalore
2,Sarjapura,0.406,1014.0,3,Unfurnished,East,available,2,2,Garden/Park,Bangalore
1,others,0.73,607.0,10+,Semi-Furnished,East,available,1,1,"Garden/Park, Main Road, Pool",Bangalore
3,Hennur Main Road,1.8,1899.0,10+,Unfurnished,East,not sure,3,1,Main Road,Bangalore
2,Gunjur,1.36,1300.0,8,Unfurnished,East,available,2,1,Main Road,Bangalore
2,Gunjur,1.3,1350.0,1,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,Gunjur,1.26,1346.0,4,Unfurnished,East,available,2,1,"Garden/Park, Pool",Bangalore
2,Gunjur,1.26,1345.0,2,Unfurnished,East,available,2,2,"Garden/Park, Pool",Bangalore
2,Gunjur,1.3,1350.0,1,Unfurnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
3,Hebbal,2.3,1645.0,2,Semi-Furnished,East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
3,Hebbal,2.8,2400.0,10+,Semi-Furnished,East,available,4,1,"Garden/Park, Main Road",Bangalore
3,others,0.5720000000000001,1380.0,2,Unfurnished,East,available,2,1,Main Road,Bangalore
3,others,1.9,2000.0,3,Semi-Furnished,North - East,available,3,3,Main Road,Bangalore
2,others,0.726,1274.0,1,Unfurnished,East,not sure,2,2,"Garden/Park, Main Road, Pool",Bangalore
3,Panathur,2.3,1611.0,10+,Unfurnished,East,available,2,1,Garden/Park,Bangalore
3,others,1.2,1321.0,3,Unfurnished,North,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,others,1.5,1275.0,7,Unfurnished,East,not sure,2,2,"Garden/Park, Main Road",Bangalore
3,Hebbal,3.0,1645.0,9,Semi-Furnished,East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.64,1648.0,9,Unfurnished,East,not sure,3,2,Main Road,Bangalore
3,Hebbal,2.3,1985.0,8,Unfurnished,East,not sure,3,2,Main Road,Bangalore
3,Whitefield,4.5,2753.0,10+,Unfurnished,East,available,4,1,Main Road,Bangalore
2,others,1.0,1183.0,8,Semi-Furnished,East,available,2,1,Garden/Park,Bangalore
4+,others,7.5,4225.0,10+,Furnished,East,available,4+,3,"Garden/Park, Pool",Bangalore
4+,others,6.3,2400.0,1,Semi-Furnished,North - East,available,4+,4,Main Road,Bangalore
2,others,0.35,708.0,10,Unfurnished,North,available,2,1,Main Road,Bangalore
2,others,0.73,770.0,10,Semi-Furnished,East,available,2,1,Main Road,Bangalore
3,others,1.83,1967.0,10+,Unfurnished,East,available,3,3,Garden/Park,Bangalore
3,others,1.6,1868.0,10+,Unfurnished,North - East,available,3,2,Garden/Park,Bangalore
4,others,8.55,5679.0,3,Unfurnished,East,available,4,3,Garden/Park,Bangalore
2,others,1.19,1198.0,10+,Unfurnished,East,available,2,1,Main Road,Bangalore
2,others,0.5379999999999999,1151.0,3,Unfurnished,East,not sure,2,2,"Garden/Park, Main Road, Pool",Bangalore
4,Whitefield,5.07,4100.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
2,others,0.49,1147.0,2,Unfurnished,North,not sure,2,1,Main Road,Bangalore
3,Whitefield,1.12,1349.0,6,Unfurnished,East,not sure,2,2,"Garden/Park, Main Road, Pool",Bangalore
